	summarized	lineages	abundances	resid	coverage
variants.tsv	[('Other', 1.0000000000134135)]	DENV1-1II	1.00000000	4.322360886979492	7.908438942921702
variants.tsv	[('Other', 1.0000000000048737)]	DENV1-1III	1.00000000	27.504493670092014	11.081638667845564
variants.tsv	[('Other', 1.0000000000240228)]	DENV1-1IV	1.00000000	18.131053519637415	9.04804008252284
variants.tsv	[('Other', 0.9999999999950323)]	DENV1-1I	1.00000000	48.221217464623834	57.71686806169565
variants.tsv	[('Other', 0.9999999976982286)]	DENV1-1VI	1.00000000	82.47537810978002	20.81736909323116
variants.tsv	[('Other', 0.9999999999864079)]	DENV1-1V	1.00000000	12.429413336781538	11.071814520090383
